E591    /tracfoil
1.0000 0.0000
0.99670 0.00151
0.98763 0.00596
0.97400 0.01261
0.95603 0.02021
0.93329 0.02833
0.90580 0.03709
0.87400 0.04649
0.83835 0.05635
0.79931 0.06650
0.75738 0.07674
0.71308 0.08683
0.66693 0.09655
0.61945 0.10567
0.57115 0.11396
0.52254 0.12120
0.47411 0.12720
0.42634 0.13177
0.37968 0.13476
0.33458 0.13601
0.29138 0.13535
0.25036 0.13275
0.21180 0.12821
0.17596 0.12177
0.14305 0.11353
0.11326 0.10364
0.08675 0.09230
 0.063640 0.079720  
 0.056939 0.075454  
 0.050395 0.070952  
 0.044030 0.066200  
 0.039856 0.062854  
 0.035783 0.059386  
 0.031821 0.055792  
 0.027980 0.052070  
 0.023597 0.047484  
 0.019428 0.042703  
 0.015500 0.037720  
 0.012291 0.033192  
 0.009330 0.028500  
 0.006660 0.023640  
 0.004635 0.019336  
 0.002898 0.014906  
 0.001490 0.010350  
 0.000876 0.007793  
 0.000403 0.005208  
 0.000102 0.002607  
 0.000000 0.000000  
 0.000005 -0.000485  
 0.000019 -0.000972  
 0.000040 -0.001460  
 0.000384 -0.004643  
 0.001179 -0.007740  
 0.002550 -0.010540  
 0.004191 -0.012523  
 0.006203 -0.014205  
 0.008468 -0.015638  
 0.010870 -0.016870  
 0.015773 -0.018896  
 0.020746 -0.020480  
 0.025780 -0.021780  
 0.032521 -0.023274  
 0.039330 -0.024566  
 0.046180 -0.025670  
 0.054657 -0.026803  
 0.063151 -0.027721  
 0.071660 -0.028470  
0.10182 -0.03016
0.13624 -0.03061
0.17460 -0.02955
0.21678 -0.02692
0.26259 -0.02276
0.31189 -0.01726
0.36440 -0.01086
0.41959 -0.00404
0.47679 0.00277
0.53527 0.00917
0.59420 0.01477
0.65267 0.01924
0.70971 0.02232
0.76431 0.02384
0.81546 0.02372
0.86213 0.02201
0.90338 0.01888
0.93829 0.01454
0.96583 0.00941
0.98516 0.00454
0.99636 0.00118
1.0000 0.00000
