SG6043	/tracfoil
    1.000000   0.000000
     0.998105   0.000656
     0.992735   0.002712
     0.984387   0.006072
     0.973434   0.010465
     0.960071   0.015523
     0.944288   0.020916
     0.925966   0.026547
     0.905161   0.032475
     0.882072   0.038683
     0.856884   0.045099
     0.829794   0.051648
     0.801008   0.058240
     0.770741   0.064777
     0.739215   0.071138
     0.706663   0.077173
     0.673195   0.082684
     0.638892   0.087606
     0.603962   0.091903
     0.568537   0.095505
     0.532761   0.098415
     0.496847   0.100592
     0.460955   0.102010
     0.425276   0.102690
     0.389995   0.102599
     0.355272   0.101752
     0.321306   0.100174
     0.288269   0.097880
     0.256330   0.094905
     0.225671   0.091274
     0.196447   0.087021
     0.168817   0.082199
     0.142926   0.076839
     0.118895   0.070995
     0.096866   0.064730
     0.076936   0.058094
 0.059198 0.051170  
 0.053995 0.048894  
 0.048845 0.046501  
 0.043757 0.043981  
 0.040419 0.042232  
 0.037115 0.040419  
 0.033848 0.038539  
 0.030622 0.036590  
 0.027854 0.034835  
 0.025126 0.033017  
 0.022449 0.031128  
 0.019828 0.029159  
 0.017633 0.027401  
 0.015494 0.025575  
 0.013419 0.023677  
 0.011416 0.021706  
 0.009239 0.019371  
 0.007186 0.016925  
 0.005277 0.014355  
 0.004179 0.012697  
 0.003167 0.010987  
 0.002265 0.009225  
 0.001496 0.007410  
 0.000968 0.005847  
 0.000548 0.004247  
 0.000234 0.002612  
 0.000024 0.000942  
 -0.000034 0.000000  
 -0.000066 -0.000501   
 0.000169 -0.003340  
 0.000588 -0.004677  
 0.001430 -0.006173  
 0.002574 -0.007492  
 0.003930 -0.008595  
 0.005521 -0.009511  
 0.007216 -0.010205  
 0.008978 -0.010745  
 0.010772 -0.011195  
 0.013295 -0.011772  
 0.015814 -0.012297  
 0.018337 -0.012763  
 0.020868 -0.013164  
 0.024152 -0.013580  
 0.027454 -0.013895  
 0.030768 -0.014129  
 0.034086 -0.014302  
 0.039561 -0.014492  
 0.045033 -0.014584  
 0.050504 -0.014598  
 0.055414 -0.014558  
 0.060325 -0.014477  
 0.065235 -0.014360  
 0.070145 -0.014215  
     0.092915  -0.013293
     0.118637  -0.011970
     0.147117  -0.010343
     0.178147  -0.008477
     0.211498  -0.006446
     0.246927  -0.004303
     0.284172  -0.002104
     0.322960   0.000114
     0.363008   0.002319
     0.404014   0.004498
     0.445705   0.006689
     0.487849   0.008933
     0.530290   0.011167
     0.572862   0.013270
     0.615252   0.015037
     0.657041   0.016351
     0.697849   0.017212
     0.737347   0.017604
     0.775201   0.017514
     0.811085   0.016945
     0.844678   0.015916
     0.875671   0.014467
     0.903773   0.012654
     0.928712   0.010558
     0.950241   0.008276
     0.968141   0.005908
     0.982146   0.003613
     0.992088   0.001700
     0.998026   0.000453
     1.000000   0.000000
